level_0,index,registered_charity_number,charity_name,latest_income,latest_expenditure,charity_activities,charity_contact_address1,charity_contact_email
83,170934,800733,THE RENAL ASSOCIATION,4746977,4621713,"The Renal Association is a professional body for nephrologists (renal physicians, or kidney doctors) and renal scientists in the UK. It is active in the planning and development of renal services and nephrology in Britain. It is also involved in the promotion and dissemination of research and education relating to the speciality.",The Renal Association,ukka@ukkidney.org
84,287081,1107839,KINGS PLACE MUSIC FOUNDATION,4664300,4720252,"KPMF OPERATES FROM KINGS PLACE, A MIXED USE DEVELOPMENT IN KING'S CROSS OPERATIONAL FROM OCT 2008.KPMF PROVIDES MUSIC SPACES FOR PERFORMANCE, REHEARSAL AND EDUCATIONAL ACTIVITIES FOCUSING ON MUSICAL PERFORMANCE.A SIGNIFICANT PART OF KPMF'S PROGRAMME AIMS TO INTRODUCE MUSIC TO THE WIDEST POSSIBLE AUDIENCE, PARTICULARLY CHILDREN ATTENDING LOCAL SCHOOLS, LOCAL RESIDENTS AND YOUTH ORGANISATIONS.",Kings Place Music Foundation,info@kingsplace.co.uk
85,253371,1076329,EMBRACE THE MIDDLE EAST,4648000,4694000,"Embrace the Middle East, formerly known as BibleLands, seeks to improve the lives of vulnerable and disadvantaged people in the Middle East. We do this in partnership with local Christians, focusing on education, healthcare and community development.",Embrace The Middle East,info@embraceme.org
86,179668,1004963,THE CHARTERED INSTITUTE OF LOGISTICS AND TRANSPORT IN THE UK,4606000,5398000,"PROMOTE, ENCOURAGE & COORDINATE THE STUDY AND ADVANCEMENT OF THE SCIENCE AND ART OF LOGISTICS & TRANSPORT IN ALL FORMS.FACILITATING AND DELIVERING THE OPPORTUNITY FOR EDUCATION, EXPERIENCE, DEBATE, THE SHARING OF IDEAS AND PROVIDING ACCESS TO INFORMATION TO ALL.ASSIST AND FURTHER THE DEVELOPMENT OF LOGISTICS AND TRANSPORT IN THE INTERESTS OF AND BENEFIT TO SOCIETY IN GENERAL",C I L T,enquiries@ciltuk.org.uk
87,128095,305962,Army Cadet Charitable Trust UK,4413652,4606946,"The Association is dedicated to promoting the ideals and activities of the Army Cadet Force, a national, military themed, voluntary youth movement open to boys and girls of all backgrounds and abilities.  In providing educational, adventurous, competitve and social activities the Association's key priorities are citizenship development, leadership training, and confidence building.",Army Cadet Charitable Trust UK,MEMBERSHIP@ACCTUK.ORG
88,181720,1007023,THE NATIONAL ASSOCIATION FOR SPECIAL EDUCATIONAL NEEDS (NASEN),4402000,4571000,"nasen aims to promote the education, training, advancement and development of all those with special and additional support needs.",Nasen,welcome@nasen.org.uk
89,373084,1194032,SHEFFIELD MUSEUMS TRUST,4338000,5239000,"The advancement of education by the establishment and maintenance of museums and galleries in Sheffield.                   The care, management, display and development of collections including the collection of Sheffield City Council.",Leader House,info@sheffieldmuseums.org.uk
90,354372,1174053,NORTHUMBRIA STUDENTS' UNION,4300304,4182742,Northumbria Students' Union is a membership organisation comprising of all the the registered students of Northumbria University. Our principal purpose is to represent the interests of our students and to further their education. In addition we provide opportunities for personal development through volunteering and undertake mutual trading for the benefit of our members.,NORTHUMBRIA UNIVERSITY,su.enquiries@northumbria.ac.uk
91,267592,1089333,FOUNDATION OF LIGHT,4293757,4772165,The Foundation strives to? Raise educational attainment; inspire a commitment to learning? Increase skills and access to employment by connecting people to the world of work? Enable people to develop healthier and happier lives; support the development of vibrant and respectful communities? Provide more opportunities for inclusive sport and play inspiring participation and achievement;,Beacon of Light,gemma.snaith@foundationoflight.co.uk
92,157081,519767,"ST CUTHBERT'S HOSPICE, DURHAM",4254633,4188853,"St Cuthbert's Hospice promotes the relief of sickness of persons from Co Durham and NE England suffering from a life-limiting or other illness, provision of care and support to their families & carers, and the advancement of health and education by the promotion and development of knowledge, attitudes and behaviours which enable people to prepare for death and/or live with life-limiting illnesses.",Park House Road,enquiries@stcuthbertshospice.com
93,345730,1166017,THE MAINSTAY FOUNDATION,4242536,3426041,"The Mainstay Foundation primarily awards grants to organisations to assist them in their activities in line with the objectives of the charity.  The objective of the charity is to assist the advancement of Shia Muslim communities globally in the areas of Religion, Education and Development. The Mainstay Foundation also establish some initiatives, such as events, in line with its objectives.",Office 11,
94,128345,306222,DUMPTON SCHOOL,4166648,4162415,"Dumpton School is an Educational Charity for Children located in Wimborne, Dorset. Its aim is to advance the education of the public for public benefit without limitations by providing or assisting in the provision of school and educational facilities. We strive for the highest quality of academic tuition and the development of wider sporting, artistic and social skills within a family framework.",DUMPTON SCHOOL,secretary@dumpton.com
95,109428,286876,THE SOUTHAMPTON NUFFIELD THEATRE TRUST LIMITED,4153078,4712114,"Production/presentation of live theatreMain house & Studio productionsVisiting company productionsTours perform at schools/theatres/arts centresSaturday childrens theatreYouth drama clubsAdult theatre skills workshopsCommunity/educational arts projectsTheatre used by local amateur & community groupsHires, Bar/Catering services to audiencesResearch & development activity",EVELYN PARTNERS,KEVIN.PARISH@EVELYN.COM
96,305347,1126965,ENTHUSE CHARITABLE TRUST,4130061,5589194,"The objects of the Charity are to advance the education of the public, by fostering and promoting the continuing professional development (CPD) of STEM (Science, Technology, Engineering, Maths) educators by the provision of grants and bursaries to: schools, education service providers and any organisation that promotes, arranges or organises courses and meetings that provide CPD to STEM educators.",UNIVERSITY OF YORK,enquiries@stem.org.uk
97,187026,1012369,THE CHICKEN SHED THEATRE TRUST,3939734,3449540,"Chickenshed is established for the advancement of education in the fields of the arts, principally for the benefit of young persons including all who may require help with mobility, communication, behaviour or self-help skills or with social development with a view to educating them in such fields, integrate them into the community and assist them in their development as members of society.",290 CHASE SIDE,info@chickenshed.org.uk
98,134289,313014,CHARTERED INSTITUTE OF LIBRARY AND INFORMATION PROFESSIONALS,3849026,4291071,"CILIP works for the benefit of the public to promote education and knowledge through the establishment and development of libraries and information services and to advance information science (being the science and practice of the collection, collation, evaluation and organized dissemination of information)","Room 150, British Library",duncan.anthony@cilip.org.uk
99,104529,281859,THE ENGLISH LANGUAGE CENTRE LIMITED,3818307,3635620,"The charity's object and its principal activity continues to be that of providing educational services to foreign students, including the provision of scholarships and the development of materials and methods of teaching English as a foreign language.",33 PALMEIRA MANSIONS,info@elc-brighton.co.uk
100,240173,1066994,BRITISH ORTHOPAEDIC ASSOCIATION,3683308,3948252,"Annual Congress & educational courses for members, curriculum development for all T&O trainees, provision of website for members & public. Research grants, professional practice publications. Regular communications with Government, it's agencies, allied bodies, patient groups, related international bodies etc.",38-43 LINCOLNS INN FIELDS,secretary@boa.ac.uk
101,114570,292138,CREATIVE KERNOW LIMITED,3675571,3131943,"We deliver initiatives in support of the creative industries and wider cultural activities in Cornwall.  These include a rural touring scheme for communities in Cornwall; a community arts investment programme; education, skills development and training; workspaces for practitioners; information, advice and guidance; and campaigning with partners across Europe to support culture in rural areas.",Creative Kernow Ltd,fiona@creativekernow.org.uk
102,173803,803793,"THE NATIONAL FEDERATION OF WOMEN'S INSTITUTES OF ENGLAND, WALES, JERSEY, GUERNSEY AND THE ISLE OF MAN",3660870,4168893,"Provides national coordination for the WI organisation; advances the education of women and girls in important local and national political and social issues, music, drama and other cultural subjects, agriculture, crafts, home economics, science, health and social welfare; promotes sustainable development; advances health and advances citizenship by promoting civic responsibility and volunteering.",N F W I,fd@nfwi.org.uk
103,121096,298910,NORTHAMPTONSHIRE INDEPENDENT GRAMMAR SCHOOL CHARITY TRUST LIMITED,3656499,3684948,"Northamptonshire Independent Grammar School Charity Trust's aim as an educational charity for children is to benefit the public by providing a first class education independent of the State system.  We aim for the highest quality of academic tuition and the development of wider sporting, artistic and social skills in all our pupils.",NORTHAMPTONSHIRE GRAMMAR SCHOOL,ssherlock@pitsfordschool.com
104,329047,1148594,WEST LONDON STUDENTS' UNION,3629442,3602346,"The advancement of education of Students at UWL for the publicbenefit promoting the interests and welfare of Students at UWLduring their course representing, supporting and advising,the recognised representative channel betweenStudents and UWL,providing social, cultural, sporting and recreationalactivities and forums for discussions and debate for personal development",University of West London,tye.mcmahon@uwl.ac.uk
105,92940,269830,THE INSTITUTE OF BREWING & DISTILLING,3607011,2916024,"The advancement of education and professional development in the science and technology of brewing, distilling and related industries through the provision of professional examinations and qualifications that are recognised globally and supported by appropriate training and seminars.",44A CURLEW STREET,accounts@ibd.org.uk
106,157148,519835,ALT VALLEY COMMUNITY TRUST LIMITED,3484702,1662176,"Providing education, training and sports/wellbeing activities and opportunities to people of all ages in Alt Valley and the surrounding areas of Liverpool and the city region. To support community development and wellbeing activities and to work with partners to support and promote community cohesion and sustainable communities",THE COMMUNIVERSITY,enquiries@altvalley.co.uk
107,163060,525919,TERRA NOVA SCHOOL TRUST LIMITED,3443371,3877130,"The School's aim as an educational charity for children is to benefit the public by providing first class education, independent of the State system.  A day school, with boarding facilities, which aims for the highest quality of academic tuition and the development of sporting, artistic and social skills. The School also makes available its facilities to members of the local community.",Terra Nova Preparatory School,office@tnschool.co.uk
108,266044,1087318,THE SWANAGE RAILWAY TRUST,3410644,3635181,"The Trust's principal objectives are:1) To preserve and restore for the public benefit items of historical, architectural, engineering or scientific value in connection with railways; and2) To advance the education of the public in the history and development of railway transportation.",Swanage Railway Trust,info@swanagerailwaytrust.org.uk
109,234627,1060182,COLLEGES WALES / COLEGAU CYMRU,3399140,3062236,"The charity aims are the advancement of education for the benefit of the general public in Wales. There is a key focus on post-14 education, lifelong learning and skills.  The prime purpose is to assist member colleges to raise standards. These aims are carried out by representation and support of member colleges, provision of training, research & development work and undertaking relevant projects",College Wales,carolyn.thomas@collegeswales.ac.uk
110,133350,312056,ST HILARY'S SCHOOL TRUST LIMITED,3344891,3669584,"An Independent Preparatory Day School whose principal objective is the education of boys and girls aged 2 to 11. It is non selective and provides a stimulating environment in which pupils can develop, be happy and flourish. It offers a firm grounding in academic subjects with ample opportunities for sport, art,  music, drama, extra curricular clubs  and social development.",ST. HILARYS SCHOOL TRUST LTD,bursar@sthilarysschool.com
111,309621,1137768,THE MARCHUS TRUST,3341813,549781,"The trustees intend to advance culture and the arts by sponsoring musical work, sponsoring performances of music and education in music, commissioning art.  They also intend to advance the education of architect, the study of architecture by sponsoring lecture series, awards, exhibitions, travel. the development or construction of buildings or their parts for music or architectural use.",Barnes Roffe Llp,
112,163260,526139,NORTH WEST TRAINING COUNCIL,3339041,3391021,"PROMOTE, ADVANCE AND ENCOURAGE THE EDUCATION OF PERSONS ENGAGED IN COMMERCE AND INDUSTRY IN THE UNITED KINGDOM AND IN PARTICULAR IN THE NORTH WEST OF ENGLAND AND NORTH WALES.WITH EMPHASIS ON THE TRAINING AND DEVELOPMENT OF YOUNG LEARNERS IN DIFFERENT KINDS OF APPRENTICESHIPS IN THE ENGINEERING, CONSTRUCTION AND COMMERCIAL SECTORS.",NORTH WEST TRAINING COUNCIL,enquiries@nwtc.co.uk
113,327752,1149074,BRITISH SOCIETY OF GASTROENTEROLOGY,3302054,3223223,"Education and Training (annual scientific meeting, postgraduate training, clinical update meetings)Supporting research into gut and liver disease (supporting academic development, promoting Gut)Enhancing service standards (clinical service development, guidelines, sharing of best practice)Supporting the gastrointestinal communityPromoting awareness of gastroenterology",BRITISH SOCIETY OF GASTROENTEROLOGY,enquiries@bsg.org.uk
114,129183,307066,HAMILTON LODGE (BRIGHTON),3230360,3090677,"The aims of the Charity are to advance the education and development of deaf children and young people, to promote their establishment in life, to support their integration into the community and to assist them in growing to full maturity as individuals and members of society. The aims of the Charity are carried out through the activities of Hamilton Lodge School and College.",Hamilton Lodge School,tom.taylor@hamiltonlsc.co.uk
115,305716,1125949,ROYAL SOCIETY FOR PUBLIC HEALTH,3194718,2984271,"RSPH is an independent, multi-disciplinary organisation, dedicated to the promotion and protection of collective human health and well-being.Through advocacy, mediation, empowerment, knowledge and practice we advise on policy development, provide education and training services, encourage scientific research, disseminate information and certify products, training centres and processes.",JOHN SNOW HOUSE,pparthipan@rsph.org.uk
116,273879,1095626,IF...,3107691,3950365,"Since 2002, iF Charity has been working with its partners to support Palestinians through a variety of relief and development programmes. The charity aims to further empower the people of Gaza in their efforts to build strong and resilient communities through poverty relief, education, community development and medical aid.","Unit 1, 29 Henley Street",info@ifcharity.org.uk
117,129131,307014,VINEHALL SCHOOL LIMITED,3026393,4170051,"Education.  Vinehall School is an educational charity for girls and boys from 2 to 13 yeas old.  We aim for the highest quality of academic tuition and the development of wider sporting, musical, artistic and social skills in all our pupils.  The School motto is 'to do our best for the benefit of others.'  Further details may be found on our website: www.vinehallschool.com",VINEHALL SCHOOL LTD,bursar@vinehallschool.com
118,236909,1067869,THE COURTYARD TRUST,3021210,3109878,"To promote the improvement and development of artistic taste and the knowledge, understanding and appreciation of arts and cultural and educational value (including the arts of dance, drama, literature, music and singing) of the public and in particular the residents of the County of Herefordshire.",The Courtyard Trust,ian.archer@courtyard.org.uk
119,328567,1149294,The Green Room Foundation Ltd,3013076,2410651,Provides Academic and Therapeutic development for young people who are no longer accessing mainstream education.,4A ALBERT STREET,info@thegreenroomschool.com
120,261675,1085351,OFF THE RECORD (BRISTOL),2942268,3010276,"Provision of mental health support, education and community development to young people aged 11 to 25.",8-10,hello@otrbristol.org.uk
121,310810,1136324,LAPWING SUFFOLK LIMITED,2880169,2450658,"To provide personalised learning opportunities to children and young people in East Anglia aged 4 - 25 years who are disadvantaged and/or experience complex barriers to learning. Lapwing aims to deliver holistic development through a highly personalised academic, vocational/work based and therapeutic provision, preparing students for re-entry or progression into education, employment or training.",8a The Square,enquires@lapwingeducation.com
122,134299,313024,THE MUSEUMS ASSOCIATION,2864433,2280586,"To advance education in, and to foster and encourage the preservation and better understanding of the material heritage of mankind and the environment for the public benefit by the promotion and development of museums and galleries and encouraging the involvementof the public. To establish and advance professional standards of those employed in museums and galleries.",42,info@museumsassociation.org
123,111557,289048,"ST JOSEPH'S SCHOOL, LAUNCESTON",2846573,2633634,"St Joseph's School is an educational charity for children, providing first class education for children aged 4-16. We aim to provide the highest quality of academic tuition and the development of wider sporting, artisitic and social skills in all our pupils.",11 ST. STEPHENS HILL,reception@stjosephscornwall.co.uk
124,294574,1115258,MIRZA SHARIF AHMAD FOUNDATION,2826000,2560000,"1. Propagation of Islam worldwide2. Building of mosques, hospitals & schools3. Scientific research & development4. Scholarships for higher education5. Emergency relief - natural disasters6. Assistance to deserving and needy",22 DEER PARK ROAD,info@msaf.org.uk
125,175700,1000977,GREEN LIGHT TRUST,2805277,2546057,"Wellbeing/educational programmes in woodland and green spaces, helping disadvantaged adults and children refocus and rebuild their lives; engaging them in skills learning and self development: NEET, victims of crime, ex-offenders, mental health, substance misuse, ex-forces, unemployed, disengaged from school, learning disabilities. Conservation of the environment. Train and deliver forest school.",GREEN LIGHT TRUST,info@greenlighttrust.org
126,100746,277981,THE ROYAL SOCIETY OF BIOLOGY,2766000,3073000,"The Royal Society of Biology is a single unified voice for biology: advising Government and influencing policy; advancing education and professional development; supporting our members, and engaging and encouraging public interest in the life sciences.",Royal Society Biology,info@rsb.org.uk
127,321957,1144820,BUCKS STUDENTS' UNION,2724262,2614477,"The advancement of education of students at Buckinghamshire New University for the public benefit by: promoting the interests and welfare of students during their course of study, representing, supporting and advising students and providing social, cultural, sporting and recreational activities and forums for discussions and debate for the personal development of its students.",Bucks Students' Union,union@bucks.ac.uk
128,305610,1125878,PALACE FOR LIFE FOUNDATION,2680127,2542341,"PROVISION OF FACILITIES FOR FOOTBALL AND MULTI-SPORTS DEVELOPMENT, SOCIAL INCLUSION, HEALTH & EDUCATION, DISABILITY & WOMEN'S FOOTBALL, AND WORKING WITHIN A BROAD AGE SPECTRUM OF DELIVERY FOR 3 TO 19 YEAR OLDS.",Crystal Palace Football Club 2010,info@palaceforlife.org
129,282135,1102837,SOUTHEND-ON-SEA YOUNG MENS CHRISTIAN ASSOCIATION,2665945,2913749,"Supported Housing: Assisting young people develop independent living skillsEducation & Training: Learning for work, personal & social development.Free School: Alternative ProvisionPositive Activities: Volunteering; mentoring; youth work Community Development: SOS Bus offering a safe haven, information, emergency first aid.",NEWLANDS,syriecox@southendymca.org.uk
130,259901,1084634,LIFELINE COMMUNITY PROJECTS,2618283,2694640,"As one of the larger community-based social enterprises in London, LifeLine Community Projects are engaged in 1) mentoring young people; 2) supporting children and families; 3) community development/combating isolation; 4) employability and skills; 5) offering alternative provision education; 6) FaithAction: empowering faith-based and community grass roots organisations.",LIFELINE HOUSE,info@lifelineprojects.co.uk
131,355357,1180335,SEVERN ARTS,2583682,2508975,"Severn Arts provides music tuition, performance opportunities, instrument hire and other music educationservices to young people in Worcestershire and intends to develop adult music education.  Severn Arts provides an arts development service for the wider public.   Severn Arts operates in an inclusive manner and wishes to extend access so as many people as possible can benefit from the arts",MALVERN GATE,info@severnarts.org.uk
132,95234,272279,THE MONTEVERDI CHOIR AND ORCHESTRAS LIMITED,2583672,2555223,"The Charity is the collective name of the Monteverdi Choir, English Baroque Soloists and Orchestre Revolutionnaire et Romantique - leading forces on the UK and international music scene. World-class musicians perform in ground-breaking projects that span eight centuries of musical masterpieces. Alongside our projects and concerts, we run opportunities for professional development and education.",Level 12,info@monteverdi.org.uk
133,278991,1101556,AFRIKA TIKKUN UK,2581639,2759147,"Afrika Tikkun UK raises funds to support the work of Afrika Tikkun NPC, an award winning child development charity in South Africa providing community based education and health care programmes for underprivileged children in the townships.  The charity has been through a period of significant growth over the last five years and now reaches over 17,000 beneficiaries.",C/O BELRON,infouk@afrikatikkun.org
134,310464,1134513,YUSUF ISLAM FOUNDATION,2564065,2819517,GENERAL CHARITABLE PURPOSESEDUCATION/TRAININGCOMMUNITY DEVELOPMENTTHE PREVENTION OR RELIEF OF POVERTY   RELIGIOUS ACTIVITIES  ARTS/CULTURE/HERITAGE GRANTS TO INDIVIDUALSGRANTS TO ORGANISATIONS ACTS AS AN UMBRELLA BODY  PROVIDES BUILDINGS/FACILITIES/OPEN SPACE,The Yusuf Islam Foundation,enquiries@yif.org.uk
135,325424,1145400,DURHAM STUDENTS' UNION,2551035,2503434,"Durham Students' Union provides representation, advice, support and activities for over 17,000 students of Durham University. Alongside seeking to improve students' education, we also work with students to ensure they have sufficient, varied and appropriate opportunities to develop their skills and qualities, while also providing broader community and cultural developmental opportunities.",DURHAM STUDENTS UNION,info@durhamsu.com
136,328886,1149090,UD Music Foundation,2550585,495927,"To advance the education of young people in the subject of contemporary Black music genres and to act as a resource for  people living in east London by providing advice and  assistance and organising programmes of educational, vocational and other talent development activities.",UD Music Foundation,contact@udmusic.org
137,258411,1079581,HIGH TREES COMMUNITY DEVELOPMENT TRUST,2544296,2079091,"High Trees is Community Development Trust based in Tulse Hill, operating across Lambeth and south London.  We connect with people and communities to strengthen skills and build stronger voices, delivering services in Community Education and Training, Employment and Careers Support, Children Young People and Families and Social Action.",HIGH TREES,admin@high-trees.org
138,165238,528143,THE NORTHUMBRIAN EDUCATIONAL TRUST LIMITED,2544244,2494237,"The principle object of the Trust, is to run a school where pupils will obtain a high standard of education. The ethos of Westfield School is based very much on development of the individual within a broad and challenging curriculum. Teaching methods are a careful blend of the traditional and the best in new ideas, while a variety of extra curricular activities supplement the broad curriculum.",WESTFIELD SCHOOL,westfield@westfield.newcastle.sch.uk
139,96054,273136,ENGLISH- SPEAKING UNION OF THE COMMONWEALTH,2535000,2046000,"The promotion of good communication in the English language through public speaking and debate; running educational programmes; initiating and administering scholarships; youth and academic exchanges. The charity focuses on oracy development in schools, promoting social equality and international understanding and facilitates and assists in the establishment of independent ESUs worldwide.",DARTMOUTH HOUSE,esu@esu.org
140,237373,1076317,TALBOT HOUSE CHILDREN’S CHARITY LIMITED,2528601,2531031,"We are a non maintained special school in the north east region, for children and young people who have emotional, social and mental health difficulties. We place great emphasis on social and educational inclusion and our ability to purposefully engage young people is a key to a young persons educational ongoing development in these areas.",Talbot House Children's Charity,office@talbothousecc.org.uk
141,350001,1169283,UNIVERSITY OF DERBY STUDENTS' UNION,2527419,2572808,"The Union of Students is responsible for the Programme and College Representative structures which support the advancement of education for students of the University of Derby in ensuring academic quality and development is maintained. The Union provides access to sports, society and volunteering activities for students and a confidential and independent Advice service.",UNIVERSITY OF DERBY,
142,322472,1143231,YOUTH FEDERATION LIMITED,2513254,2441464,"Youth Federation Ltd strives for equal life chances for young people through a range of interventions and services including support to access education and employment, intensive mentoring and mental health services.  We also deliver a variety of personal social development programmes and training courses.  In addition to running youth clubs we provide infrastructure support for the youth sector.",20 Rossmore Business Village,info@youthfed.org
143,207442,1032846,CUSTOMS HOUSE TRUST LIMITED,2505140,2535172,"Arts Centre offering Theatre, Cinema and Art Gallery. We deliver Arts in Education within South Tyneside and within the North East Region and are actively engaged in arts development as well as the use of the arts to promote social and economic regeneration.",Mill Dam,mail@customshouse.co.uk
144,235185,1060744,GATSBY TECHNICAL EDUCATION PROJECTS,2479823,2479823,"The advancement of education for the benefit of the public by the support and development of excellence in engineering, technology, science, mathematics, information technology and other academic areas supporting these disciplines.",The Sainsbury Family Charitable Tru,info@sfct.org.uk
145,93166,270080,ALTERNATIVE THEATRE COMPANY LIMITED,2474936,2556166,"Developing, promoting and producing the best new theatre writing. Providing professional development, education and training both for those within the industry and those learning about the industry. Increasing audience access to New Writing both in London and further afield. Encouraging cultural diversity.",7 Uxbridge Road,info@bushtheatre.co.uk
146,297241,1117377,VILLAGE WATER LIMITED,2447890,2558958,"We promote access to safe water, hygiene education and sanitation as a means of improving health, access to education and community development.  We achieve this by providing support to local partners working in disadvantaged communities in Africa.",C/O URC Office,info@villagewater.org
147,250194,1073308,CISV INTERNATIONAL LIMITED,2413001,2397784,"CISV provides a range of unique, educational group activities, which develop cross-cultural understanding in children and youth from around the world.  By encouraging respect for cultural differences and the development of self-awareness, CISV empowers each participant to incorporate these values into their lives as they become global citizens and strive for a more peaceful world.",CISV INTERNATIONAL LTD,international@cisv.org
148,297470,1118364,SHERMAN CYMRU,2412140,2611206,"The objects of Sherman Cymru are to promote and encourage art and in particular performing art for the benefit of the public by the development, production and presentation of new writing or works of any form, the provision of theatre facilities and the advancement of education of children, young persons and adults by participation in the experience of theatre, drama and the performing arts.",SHERMAN THEATRE,boxoffice@shermantheatre.co.uk
149,353548,1185764,RAINFOREST ALLIANCE LTD,2402053,2402053,"Advance the education of the public in subjects relating to sustainable development  including in ethical standards of conduct in social and environmental responsibility in farming and land use practices, business practices and consumer behaviour.  Promote sustainable development for the benefit of the public.",Unit 2.7,ukcomms@ra.org
150,318640,1137636,FIGHT FOR PEACE INTERNATIONAL,2376510,2209060,"At our Academy in Newham, we use boxing and martial arts combined with education and personal development to realise the potential of young people. Our Alumni Programme is an organisational capacity training consultancy and support services for local community based charities delivering programmes in communities affected by crime and violence in the UK and globally.",FIGHT FOR PEACE,info@fightforpeace.net
151,293438,1115546,DERBY QUAD LIMITED,2375047,2721725,"The principal activity of the charity is the promotion of, education in, development of and appreciation of the arts",DERBY QUAD LIMITED,info@derbyquad.co.uk
152,295262,1118900,SOMERSET ACTIVITY AND SPORTS PARTNERSHIP,2358366,2033003,To promote physical activity and sport in Somerset to provide significant benefits for everyone by creating a healthier and more active community. To provide help towards the education and development of Physical Education and Sport in both education establishments and the community as a whole.,Somerset Activity Sports Partnershi,enquiries@sasp.co.uk
153,357289,1176482,Libraries Connected,2340961,1358303,"The Objects of the Charity are to advance the education of the public by assisting in the establishment, maintenance, operation and development of libraries and library services in the United Kingdom (which are either public or from which the public may benefit) and to further such other charitable purposes consistent with the above as the Trustees, in their absolute discretion, shall determine.",Libraries Connected,info@librariesconnected.org.uk
154,79180,253606,SCARBOROUGH THEATRE TRUST LIMITED,2329855,2430309,"To advance the education of the public in all aspects of dramatic art including , drama,opera,dance, music and film.The development of public appreciation of such art by the provision of a theatre and the presentation of public performancesTo further the social and cultural welfare of the community of scarborough , its neighbourhood and visitors.",Stephen Joseph Theatre,darren.rounding@sjt.uk.com
155,301406,1123276,SANGHA TRI-NATIONAL TRUST FUND LIMITED,2307873,3538264,"The objects of the Charity are to promote the conservation of the physical, natural and social environment and to advance education and science in particular through conserving the natural environment and biodoversity of the trans-boundary forest complex called Sangha Tri-National; and, promoting the environmentally sustainable management of the natural resources and eco-development in the region.",B.P. 35372,secretariatftns@fondationtns.org
156,137888,328347,THE REED EDUCATIONAL TRUST LIMITED,2307699,2313078,"The Reed Educational Trust provides residential and non-residential accredited professional accountancy, financial and developmental courses, nurturing the developing careers of student professionals.",REED BUSINESS SCHOOL,accounts.reed@reedbusinessschool.co.uk
157,93235,270157,MAHARISHI FOUNDATION,2273964,2518463,"Advancement of the education of the public by: 1) Offering courses of instruction to the public that will promote the mental and creative development of the individual, including Transcendental Meditation and related advanced techniques. 2) Establishing, conducting and maintaining an institution of further education and additional educational facilities. 3) Making grants to other charities.",Maharishi Peace Palace,tmadmin@maharishifoundation.org.uk
158,244155,1068643,HEALTH FOR ALL (LEEDS) LTD,2231799,2275635,"Promote the preservation and protection of good health and advance education on matters related to healthAdvance citizenship and community developmentPromote social inclusion, relieve the needs of people who are socially excluded and assist their integration into societyPromote community capacity buildingProvide relief to those in need by reason of youth, age, ill health, disability etc.",TENANTS HALL ENTERPRISE CENTRE,info@healthforall.org.uk
159,293789,1113725,TOTTENHAM HOTSPUR FOUNDATION,2214749,2536764,"Increase and widen participation across a range of sports, education and physical activity initiatives;Promote health and wellbeing;Support the continual improvement of educational attainment of children and young people;Help with training, development and employment opportunities; Contribute to community regeneration;Create opportunities for young people that help enhance their lives",Percy House,foundation@tottenhamhotspur.com
160,298457,1122618,PEN GREEN CENTRE,2171852,2167982,"The objects of the charity are:-- to assist in the advancement of education and training for children, their families, staff and others working in the fields of early years, family support and community development.- to undertake research of early years and family policy and practice and to disseminate such findings both nationally and internationally.",PEN GREEN RESEARCH BASE,Maria.Palazzo@northnorthants.gov.uk
161,194870,1020238,THE WELFARE ASSOCIATION,2161188,2171440,"HEALTH: PROVISIONS FOR DISABLED CHILDREN, GAZA CBR PROGRAMME, MATERNAL, MENTAL & ENVIRONMENTAL HEALTH, WATSAN. EDUCATION: CHILDREN WITH SPECIAL NEEDS, CORE SKILLS, ECD, SKILLS TRAINING, PALESTINIAN MUSEUM. OTHER SUSTAINABLE DEVELOPMENT: LIVELIHOODS PROJECTS, E.G. FOOD SECURITY, MICROLOANS, SUPPORT FOR FISHING COMMUNITIES, HOME REHABILITATION. EMERGENCY RELIEF IN TIMES OF CRISIS.",Welfare Association,info@welfareassociation.org.uk
162,79762,254312,TRUST PROPERTY HELD IN CONNECTION WITH THE ENGLISH PROVINCE OF THE CONGREGATION OF CHRISTIAN BROTHERS,2157141,3021615,"To support the religious and other charitable works carried on in the name of the Trust and to care for the members of the Congregation.  These Ministries of the Brothers of the Congregation, all of which benefit numerous members of the general public, fall into the following main areas: Education / Faith Development / Social and pastoral work / International missionary work",Congregation Of Christian Bros,
163,337924,1157518,Ipswich Town Foundation,2076714,2095515,Ipswich Town Education ProgrammeThe main objective is to provide high quality education opportunities for local schools sharing Ipswich Town Football Club?s resources and expertise.  In 2014/15 the programme reached full capacity with 50 schools successfully registering for the scheme.  Female Football Development ProgrammeIn 2014/15 the Trust engaged with 141 players in the 14-17 age group.,Portman Road,community@itfc.co.uk
164,340277,1161735,THE LODGE TRUST CIO,2002808,2047330,"Provide a home, educational & work opportunities, based on orthodox Protestant Christian values, for the benefit of people with learning disabilities, who have expressed the desire to be supported in a provision which promotes their spiritual, material & mental welfare, & is tailored to their individual needs, & which promotes independent living and life skills development to the extent possible",The Lodge,admin@lodgetrust.org.uk
165,321820,1140833,BFI TRUST,1930955,10019620,"Encourage the development of the arts of film, television and the moving image throughout the UK.  To promote education about film, television and the moving image generally, and their impact on society.  To establish, care for and develop collections reflecting the moving image history and heritage of the UK.  In particular to support the work of the British Film Institute.",BRITISH FILM INSTITUTE,iain.thomson@bfi.org.uk
